Temperature,Heartbeat Rate,Steps Taken,Health Status
38.6,90,2436,0
38.23,98,2948,0
38.62,84,2600,0
39.34,76,2989,0
38.87,101,3060,0
38.01,72,3052,0
38.66,114,2370,0
40.22,114,3705,0
39.15,83,2472,0
37.94,90,2688,0
39.43,108,3430,0
39.37,97,3433,0
38.92,72,3671,0
39.46,80,3063,0
38.84,62,2874,0
38.29,74,2183,0
39.49,98,3068,0
38.16,88,3250,0
38.24,76,2584,0
40.14,72,3081,0
38.64,69,3643,0
39.71,135,3596,0
38.29,91,2185,0
38.46,74,3521,0
39.06,68,3155,0
37.89,67,2735,0
37.69,91,3275,0
38.86,74,2256,0
38.58,96,3394,0
38.38,87,2885,0
37.87,103,2278,0
38.38,85,3233,0
38.2,80,2614,0
39.15,99,4066,0
38.57,96,2722,0
38.55,93,3734,0
37.83,65,2212,0
38.32,71,3962,0
38.81,107,3480,0
37.89,84,2610,0
38.42,98,2672,0
38.37,93,3448,0
38.44,96,2755,0
38.92,102,2664,0
38.57,97,3220,0
38.59,86,3426,0
38.6,91,3520,0
40.91,116,3451,0
37.94,90,3336,0
38.82,78,3683,0
38.92,96,3467,0
37.77,70,2495,0
37.84,85,3470,0
39.97,113,3229,0
38.27,98,3118,0
38.47,87,2681,0
39.13,122,3840,0
37.63,79,1834,0
38.18,86,3003,0
39.71,84,1869,0
38.87,98,3509,0
38.23,87,3064,0
38.28,118,4107,0
37.96,105,3081,0
37.47,73,2666,0
39.51,93,3736,0
38.07,97,3137,0
37.43,85,2055,0
38.75,83,2565,0
38.43,88,3092,0
38.12,83,2856,0
39.47,103,3649,0
37.85,93,2368,0
38.57,88,2634,0
37.0,93,3595,0
37.98,72,2995,0
38.02,59,2347,0
38.35,87,2247,0
39.16,102,3081,0
38.74,93,3740,0
38.58,111,3477,0
39.2,127,3481,0
37.44,88,2540,0
39.83,88,2745,0
37.26,93,2393,0
39.16,83,2463,0
38.92,109,2308,0
38.45,112,3165,0
37.3,83,2687,0
38.98,103,2001,0
38.68,97,3712,0
38.34,87,3482,0
38.37,83,3336,0
39.4,94,3001,0
38.09,75,3129,0
38.92,87,2071,0
38.7,93,3467,0
38.74,100,3610,0
38.79,98,2708,0
37.38,67,2372,0
39.91,120,3070,0
38.2,84,2502,0
38.13,97,3395,0
39.41,93,3362,0
38.69,81,3571,0
37.34,58,2954,0
38.66,90,2740,0
38.23,90,3229,0
38.62,88,2470,0
37.84,91,2206,0
37.78,69,3178,0
37.37,67,2369,0
37.56,78,2815,0
39.49,96,2791,0
37.83,103,2434,0
37.79,84,2553,0
37.99,80,2345,0
38.22,60,2281,0
39.54,105,2829,0
38.52,62,2679,0
38.53,101,3213,0
37.89,97,3009,0
38.01,108,3363,0
38.29,107,2870,0
39.04,88,3037,0
38.73,86,3263,0
38.46,92,3753,0
38.86,97,3383,0
38.11,98,2876,0
39.62,101,3760,0
38.74,82,3394,0
38.39,76,2841,0
37.78,89,3441,0
38.32,100,3472,0
38.28,85,2504,0
38.18,79,3241,0
38.57,91,2467,0
38.19,92,3366,0
37.42,98,2609,0
38.8,119,3437,0
38.45,82,2207,0
38.23,108,2879,0
38.42,91,2752,0
38.8,101,3244,0
38.84,79,2676,0
38.61,97,2733,0
37.65,82,2963,0
38.07,79,3329,0
37.18,72,1987,0
38.57,97,3032,0
38.02,83,2821,0
37.42,97,2958,0
39.68,85,2827,0
38.89,97,3264,0
37.86,99,2675,0
39.73,103,3271,0
38.94,88,3398,0
39.26,78,3199,0
38.05,89,2988,0
38.07,90,2828,0
39.21,61,3530,0
38.52,65,2587,0
39.99,114,2968,0
40.36,96,2844,0
38.51,93,3846,0
38.28,82,3988,0
38.51,114,3920,0
38.84,72,3019,0
37.25,72,1717,0
38.8,73,2293,0
38.36,74,2867,0
39.02,83,3754,0
38.37,79,2886,0
38.61,92,3228,0
37.51,97,2949,0
38.78,87,2530,0
38.15,69,3080,0
37.74,90,3003,0
39.36,117,3718,0
38.33,44,3330,0
38.45,109,2431,0
38.69,87,2669,0
38.74,91,2040,0
38.86,80,2510,0
37.58,71,2560,0
38.28,105,2298,0
37.33,96,3147,0
38.94,90,3036,0
37.86,96,2536,0
37.38,91,2753,0
38.78,99,2649,0
39.71,115,4037,0
38.44,97,2817,0
38.93,117,3109,0
39.02,79,2991,0
38.25,109,3686,0
39.25,96,2775,0
38.78,109,3196,0
39.12,107,1909,0
39.75,82,2825,0
38.62,114,3009,0
38.46,96,3671,0
39.09,75,2769,0
37.51,106,3610,0
38.33,111,3340,0
38.4,101,2769,0
38.81,93,3004,0
37.85,78,2912,0
39.29,82,3409,0
37.74,74,3823,0
38.58,95,3438,0
37.8,77,2888,0
38.39,123,3075,0
38.24,94,2247,0
37.45,74,2204,0
37.74,63,2148,0
38.73,79,3136,0
38.61,74,2662,0
38.8,87,2505,0
39.65,125,2486,0
38.65,96,3258,0
38.62,95,3393,0
39.24,105,3343,0
38.79,69,2652,0
38.66,70,2373,0
38.59,81,3972,0
38.3,93,2570,0
38.2,77,2540,0
38.85,102,3150,0
39.36,107,3779,0
38.59,73,2203,0
38.39,76,2887,0
38.88,89,2404,0
38.04,105,3251,0
38.41,106,2297,0
38.24,108,3281,0
38.65,101,2454,0
39.02,128,3356,0
37.84,95,3635,0
39.46,77,2655,0
39.33,108,2869,0
38.72,93,3243,0
39.06,90,3330,0
37.02,72,2502,0
39.41,104,3736,0
37.5,85,3307,0
38.82,89,3480,0
38.27,82,2335,0
38.9,103,3711,0
39.32,86,2810,0
39.58,120,4019,0
37.69,90,2600,0
38.46,76,2556,0
38.35,83,2686,0
37.94,54,3018,0
38.03,106,2252,0
36.9,53,2875,0
38.82,80,2330,0
37.63,79,2195,0
38.6,98,3609,0
37.53,60,2599,0
38.28,91,2258,0
39.3,78,1960,0
37.36,89,3013,0
38.0,97,2920,0
38.23,98,3794,0
38.43,110,2878,0
39.15,91,2805,0
39.04,90,3102,0
38.56,91,2551,0
39.24,106,3291,0
38.53,102,3017,0
39.01,121,3714,0
37.94,93,2598,0
37.66,82,2928,0
38.46,88,2817,0
39.05,88,3237,0
37.89,95,3483,0
39.35,101,3215,0
37.85,118,3480,0
38.32,95,2742,0
39.03,95,3155,0
38.75,113,2632,0
39.06,88,2268,0
38.77,110,3228,0
39.03,96,3399,0
38.34,75,2520,0
39.52,91,2945,0
38.26,76,2626,0
38.81,62,2525,0
38.12,110,3516,0
37.45,91,3118,0
37.71,104,3470,0
38.83,74,3033,0
39.97,100,3697,0
40.44,109,3363,0
39.52,93,3529,0
38.6,89,3146,0
39.16,81,2776,0
38.7,95,3715,0
39.01,76,2556,0
38.31,74,3984,0
38.25,87,2342,0
39.81,101,3674,0
38.5,80,2421,0
38.15,63,2788,0
39.03,99,3378,0
38.81,87,2810,0
38.91,101,2349,0
38.51,102,3232,0
38.01,86,2491,0
38.36,99,3637,0
38.0,94,2610,0
38.14,94,2922,0
39.2,81,2670,0
38.64,95,2478,0
38.65,104,4127,0
39.06,76,2335,0
37.62,75,1924,0
37.68,76,2686,0
38.09,89,2815,0
39.97,91,3044,0
38.63,74,3037,0
38.47,104,3720,0
37.87,75,2964,0
39.79,110,3379,0
37.3,53,3292,0
38.46,117,3229,0
38.97,107,3687,0
39.37,84,3293,0
38.16,93,2673,0
37.83,92,2675,0
39.12,97,2786,0
38.67,95,3013,0
37.69,77,2445,0
38.32,97,3580,0
39.51,100,4200,0
38.07,85,2239,0
38.7,111,3148,0
38.56,78,3601,0
37.81,97,3009,0
38.42,79,3238,0
38.95,83,2776,0
38.58,84,2082,0
37.96,80,3340,0
38.75,86,3180,0
38.51,75,2639,0
39.35,78,3318,0
38.2,74,2947,0
39.94,121,3758,0
38.9,115,3103,0
37.61,81,2985,0
38.22,102,3959,0
38.9,78,2876,0
38.46,92,3925,0
37.87,99,4382,0
38.2,84,3218,0
38.89,94,3302,0
38.07,88,2299,0
38.51,106,2852,0
38.03,110,2880,0
36.68,71,2153,0
38.21,78,3047,0
38.12,91,3273,0
39.2,114,3841,0
37.77,85,2581,0
39.53,86,1992,0
38.2,67,1863,0
38.96,119,3909,0
38.7,100,4049,0
38.45,91,3088,0
38.65,77,3198,0
38.75,81,2326,0
37.74,87,3253,0
38.25,72,2709,0
38.95,110,4123,0
39.59,108,3533,0
38.37,69,2131,0
39.04,77,3169,0
39.22,84,3282,0
38.06,80,3144,0
37.94,73,2125,0
38.99,95,3182,0
38.65,90,2582,0
38.38,83,2755,0
37.91,85,3312,0
39.62,108,3163,0
38.61,117,2817,0
38.92,83,3748,0
38.39,102,2881,0
39.19,87,3937,0
38.33,89,3052,0
38.51,104,2838,0
38.33,93,2925,0
38.27,94,3439,0
37.57,88,3423,0
39.14,100,3109,0
39.36,96,3504,0
38.21,80,3148,0
39.83,92,3312,0
38.5,91,3914,0
36.74,53,3033,0
37.7,103,2402,0
38.73,90,3234,0
38.2,112,2833,0
39.56,110,3270,0
39.52,87,2897,0
37.61,78,3304,0
38.03,75,2644,0
38.67,93,3167,0
39.46,71,3197,0
38.9,89,3267,0
39.5,74,3417,0
39.7,83,3564,0
38.26,103,3662,0
39.31,96,3503,0
38.03,85,2933,0
39.16,109,3693,0
38.07,83,2609,0
38.32,60,3018,0
37.8,89,3072,0
38.63,79,3506,0
37.92,76,2868,0
38.8,83,2984,0
37.25,91,3335,0
38.38,108,3979,0
39.18,75,2657,0
38.77,117,3563,0
37.56,70,3046,0
38.95,105,2789,0
38.74,98,3221,0
35.93,66,2185,0
39.04,103,3165,0
38.25,68,3127,0
37.98,70,2497,0
39.41,87,3081,0
38.84,97,3384,0
38.93,114,3937,0
37.99,118,3306,0
37.53,73,3112,0
39.2,90,3680,0
39.79,97,3519,0
39.59,102,3223,0
38.01,103,3457,0
39.01,83,3085,0
39.73,101,3169,0
37.75,42,1943,0
37.88,91,3436,0
39.38,70,2773,0
37.8,85,2889,0
37.12,79,2581,0
39.12,94,2583,0
38.07,91,3224,0
39.51,97,2974,0
38.65,87,3002,0
38.52,84,3472,0
39.14,87,2451,0
38.95,78,3103,0
38.37,92,3159,0
38.0,77,3339,0
38.5,83,2191,0
39.91,101,3463,0
39.02,80,3193,0
37.94,57,2154,0
38.7,103,2878,0
38.58,105,3605,0
37.6,92,2078,0
37.6,80,3116,0
38.03,63,2324,0
38.69,93,2998,0
38.66,88,2847,0
38.75,85,3418,0
38.85,70,1690,0
39.02,104,3939,0
38.99,116,3531,0
38.73,102,2985,0
38.67,100,2729,0
38.95,81,2617,0
38.52,85,3327,0
39.22,78,2750,0
37.11,95,2771,0
38.33,70,2781,0
37.31,62,2244,0
38.5,103,4421,0
38.74,111,3905,0
39.29,110,3296,0
39.94,94,2898,0
37.77,82,2629,0
38.51,116,1815,0
37.68,122,2766,0
37.6,65,3784,0
37.52,106,2981,0
38.09,79,2689,0
38.4,98,2654,0
38.88,91,3393,0
38.69,100,2504,0
38.66,80,2703,0
39.01,91,3037,0
38.65,88,3400,0
37.06,87,3456,0
37.99,71,2709,0
39.1,100,3313,0
39.17,107,3081,0
39.44,85,2786,0
38.88,75,2566,0
39.81,92,3268,0
38.96,118,2680,0
39.2,80,3723,0
39.19,90,3130,0
39.13,81,4028,0
38.34,117,3072,0
38.78,109,2229,0
38.33,131,3243,0
37.9,114,3133,0
38.52,89,2849,0
37.86,105,3142,0
37.88,96,3544,0
40.38,106,3827,0
38.14,71,3270,0
38.77,98,3247,0
39.03,97,2892,0
39.2,96,2709,0
38.44,94,3307,0
37.55,28,2550,0
39.23,102,3358,0
38.05,82,2808,0
37.35,81,2777,0
38.69,87,3114,0
38.62,81,2372,0
38.39,105,3308,0
38.31,87,2858,0
38.11,103,3545,0
39.27,124,3689,0
38.31,93,2775,0
37.64,83,2381,0
38.61,89,2111,0
38.31,88,3733,0
39.08,80,3284,0
37.83,98,3055,0
38.53,115,3563,0
38.17,87,2657,0
38.32,83,2578,0
38.53,105,3921,0
38.73,89,3648,0
38.7,92,3057,0
38.95,112,3821,0
38.04,89,3650,0
37.66,95,2659,0
38.57,121,3246,0
38.99,109,2955,0
38.61,90,2179,0
39.16,66,2041,0
38.09,72,2075,0
38.12,83,3009,0
37.23,91,2330,0
39.8,102,3380,0
38.17,112,3447,0
38.51,64,2438,0
38.08,80,3084,0
38.81,94,3509,0
38.32,121,3779,0
38.26,131,2822,0
38.42,79,2646,0
37.52,90,3137,0
38.99,106,4025,0
38.56,105,3220,0
39.26,94,3163,0
37.44,83,2568,0
37.92,108,3255,0
38.2,91,3127,0
38.39,97,3348,0
38.8,94,3171,0
38.03,78,2560,0
38.72,93,2698,0
39.07,82,3854,0
37.94,93,2637,0
39.21,70,2832,0
38.61,88,2760,0
37.88,86,3185,0
38.01,66,2550,0
38.44,114,3482,0
38.34,96,3226,0
38.04,56,2494,0
38.16,91,2740,0
37.73,80,3022,0
40.7,103,3978,0
38.76,108,4291,0
38.19,91,3792,0
39.06,69,3168,0
38.97,98,3294,0
38.27,74,2424,0
38.9,94,2310,0
38.75,73,2283,0
38.28,95,2871,0
38.86,97,2836,0
39.71,84,3991,0
39.61,63,3536,0
38.87,57,2911,0
39.27,96,2932,0
37.88,79,2570,0
38.12,82,3424,0
37.73,77,2999,0
38.55,80,2688,0
37.98,89,2882,0
38.25,90,3666,0
37.84,91,2785,0
38.24,107,2713,0
39.45,90,3709,0
38.94,99,3172,0
39.2,103,3199,0
37.91,80,1828,0
37.68,88,2902,0
38.25,68,2985,0
38.73,97,2168,0
37.88,67,2898,0
38.73,102,3509,0
38.41,89,3396,0
37.71,82,2709,0
39.26,101,3532,0
38.1,114,2782,0
38.69,72,2465,0
37.88,83,2632,0
39.3,91,3660,0
37.96,84,3561,0
38.77,93,2667,0
38.62,98,3295,0
38.07,96,1948,0
39.77,79,3215,0
39.03,86,3302,0
38.11,106,3128,0
36.26,45,2763,0
39.67,113,3773,0
38.09,84,2555,0
39.21,105,2760,0
38.82,101,3214,0
37.64,118,3002,0
38.21,64,3420,0
39.61,91,3203,0
38.6,106,3412,0
38.75,89,3464,0
37.78,80,2958,0
39.09,102,3315,0
38.32,102,3480,0
37.97,88,2617,0
37.59,49,2939,0
40.3,115,3114,0
38.37,93,2495,0
38.32,98,3172,0
38.22,85,2405,0
39.34,104,2615,0
39.4,71,3368,0
39.85,109,3040,0
37.56,50,2136,0
38.44,98,3725,0
38.93,93,3328,0
38.41,75,2405,0
39.3,91,2994,0
38.25,89,2641,0
39.17,80,3025,0
38.72,98,3111,0
39.77,95,3366,0
38.67,110,2694,0
37.81,96,3250,0
38.19,69,3067,0
38.62,115,2833,0
38.6,66,2457,0
38.87,107,2528,0
37.81,102,2294,0
38.72,106,4127,0
38.27,104,2856,0
40.26,112,3341,0
37.53,89,3000,0
37.18,93,2388,0
38.78,106,3372,0
39.27,112,2978,0
39.13,99,3351,0
38.89,97,2896,0
39.66,116,3441,0
39.1,77,3079,0
37.43,95,2809,0
37.64,97,2925,0
37.25,56,1946,0
39.06,82,3189,0
38.53,99,2544,0
37.66,76,3939,0
37.79,89,2616,0
38.35,96,2431,0
38.11,97,2898,0
38.69,93,2952,0
39.96,121,3257,0
38.44,97,3020,0
38.76,96,3747,0
39.07,86,2916,0
38.06,103,2641,0
39.08,71,3340,0
39.04,105,2262,0
39.01,106,3672,0
39.04,92,3046,0
37.95,55,2112,0
38.86,87,3730,0
37.58,91,2391,0
37.99,95,2591,0
39.58,92,3129,0
38.74,99,3285,0
37.32,101,3313,0
38.37,97,2906,0
39.33,85,3643,0
38.78,98,2546,0
38.35,76,3008,0
37.82,102,3701,0
38.16,90,2780,0
39.11,90,3077,0
39.06,79,2879,0
38.61,77,1835,0
38.97,102,3014,0
38.59,86,3419,0
37.55,72,2727,0
38.54,68,3140,0
39.65,89,3583,0
39.9,103,3292,0
38.78,89,2822,0
38.44,89,2740,0
39.13,110,3574,0
38.58,93,2287,0
37.73,65,2348,0
37.98,78,3018,0
39.44,102,3369,0
38.73,113,1911,0
38.85,88,2980,0
37.48,86,2261,0
37.31,70,2496,0
37.92,59,2135,0
37.87,96,3774,0
38.51,94,3343,0
39.01,81,2708,0
37.75,96,2587,0
39.62,102,3350,0
38.86,89,3002,0
38.36,84,2741,0
37.97,87,3145,0
37.45,99,3953,0
38.84,82,2913,0
38.6,80,3359,0
38.76,85,2978,0
39.0,94,3676,0
38.23,91,3837,0
38.02,100,2458,0
38.62,65,2739,0
38.79,84,2830,0
38.43,89,2524,0
38.05,90,3245,0
38.44,84,3258,0
39.33,92,3120,0
37.36,102,2881,0
39.06,129,4161,0
40.11,101,3057,0
39.26,104,3020,0
38.28,92,2895,0
38.95,94,3725,0
37.95,56,2119,0
38.45,88,3031,0
38.27,103,3947,0
38.03,86,2263,0
38.24,70,3843,0
38.41,82,2674,0
38.38,75,2923,0
38.59,71,2664,0
38.51,103,2925,0
40.14,112,3065,0
37.31,70,2084,0
37.66,85,3057,0
38.66,107,3159,0
37.9,95,3004,0
38.31,86,2885,0
37.69,85,2225,0
37.75,79,2659,0
39.21,92,3239,0
37.08,81,2129,0
38.64,91,2779,0
40.14,94,3413,0
37.91,79,2871,0
39.02,110,3307,0
38.22,96,2701,0
39.24,92,3497,0
39.04,63,3028,0
38.79,91,3014,0
37.66,106,3458,0
37.34,84,2509,0
37.78,88,2480,0
38.37,101,3716,0
38.35,53,2869,0
37.95,92,1948,0
39.35,100,2976,0
38.76,72,2074,0
38.2,91,3251,0
37.99,86,3051,0
38.41,105,3843,0
38.93,105,2953,0
37.08,59,1879,0
38.12,93,2531,0
39.12,89,3434,0
36.93,76,3358,0
38.84,75,2851,0
40.09,78,3473,0
39.05,97,2376,0
37.64,123,3075,0
37.36,85,2507,0
37.88,113,2798,0
38.46,67,2695,0
38.5,91,3195,0
39.26,88,3086,0
38.33,108,3115,0
38.01,79,3345,0
38.76,73,3892,0
39.88,101,4082,0
37.46,85,3271,0
38.7,77,3095,0
37.35,108,3116,0
38.64,112,3478,0
39.26,116,2939,0
39.16,100,2714,0
37.84,76,3461,0
38.69,73,2984,0
38.1,101,3928,0
37.94,66,2655,0
37.8,96,2938,0
39.06,77,1874,0
38.67,110,3383,0
37.55,91,1744,0
38.41,72,2880,0
39.35,74,3166,0
38.16,76,3260,0
38.96,116,2595,0
38.35,81,2721,0
38.29,86,2988,0
37.95,58,2121,0
38.57,86,3246,0
38.97,72,2869,0
38.03,57,1848,0
38.54,78,3268,0
37.4,99,2972,0
38.5,79,3351,0
38.79,100,3105,0
37.97,83,2415,0
38.09,67,3856,0
36.95,107,2509,0
37.78,105,3225,0
38.82,88,3070,0
39.49,121,3541,0
36.91,94,2033,0
37.98,86,1835,0
39.63,83,3686,0
37.83,72,3140,0
38.66,75,3596,0
38.65,76,2718,0
37.73,73,3414,0
38.8,94,3519,0
37.85,117,3222,0
39.91,97,3268,0
38.61,76,3115,0
37.51,87,2355,0
39.21,72,2891,0
38.52,114,2881,0
38.46,98,3033,0
38.98,100,2612,0
37.97,93,3087,0
36.86,74,3348,0
38.76,78,3245,0
38.54,90,2503,0
38.26,51,2547,0
38.96,108,3545,0
39.44,67,2648,0
38.32,99,2811,0
39.08,90,3043,0
38.99,110,3225,0
38.38,94,3228,0
38.05,94,2970,0
38.21,105,2832,0
38.77,92,3633,0
39.11,75,3002,0
38.27,66,3396,0
37.73,107,3232,0
38.84,91,3186,0
39.68,114,2436,0
38.03,82,3106,0
36.9,84,3259,0
38.76,77,2806,0
39.04,94,2964,0
38.73,106,2919,0
37.99,68,3286,0
38.5,109,3094,0
38.32,102,3864,0
38.99,111,3559,0
39.18,100,2993,0
38.51,112,3435,0
38.48,92,2615,0
38.67,103,2886,0
38.7,78,3113,0
38.36,94,3266,0
38.99,103,2340,0
38.17,87,3624,0
38.17,83,3031,0
38.13,95,2184,0
38.4,74,2847,0
38.82,101,3087,0
39.63,114,3574,0
39.36,118,3568,0
38.58,77,3274,0
37.07,68,1917,0
38.66,121,2820,0
37.93,69,2030,0
39.73,113,3991,0
38.31,78,2206,0
39.25,76,2582,0
39.93,95,2939,0
38.47,101,2533,0
39.11,120,3772,0
39.38,87,3378,0
36.97,70,2322,0
37.32,101,2184,0
37.29,83,2886,0
38.76,95,3725,0
38.33,97,2961,0
39.54,96,3127,0
38.91,97,3130,0
38.78,84,3011,0
38.46,109,2470,0
40.36,111,3875,0
38.74,111,2808,0
39.1,103,3588,0
37.9,97,3393,0
38.97,80,2648,0
39.19,82,3389,0
36.42,60,2404,0
39.24,78,3352,0
38.68,81,3200,0
37.73,94,3627,0
38.88,106,3273,0
38.53,110,3539,0
38.47,102,3186,0
38.49,84,3487,0
38.96,118,3522,0
38.49,83,2338,0
38.37,113,3393,0
39.29,99,3530,0
38.26,102,3149,0
39.02,111,3300,0
38.45,86,2244,0
37.08,85,3437,0
38.54,107,3086,0
39.34,88,3313,0
38.16,94,3633,0
38.49,54,2792,0
38.32,66,2137,0
37.76,96,2624,0
38.39,82,3752,0
39.12,95,3421,0
37.85,85,2658,0
37.54,80,2100,0
38.43,70,2022,0
38.79,113,3860,0
37.51,83,3009,0
38.32,98,2856,0
38.68,90,3536,0
39.26,79,2748,0
37.27,107,2402,0
38.01,76,2364,0
38.52,83,2503,0
37.15,49,1786,0
37.62,75,2068,0
38.84,100,2509,0
37.83,91,3348,0
38.1,74,2253,0
38.99,112,3864,0
37.77,84,2695,0
38.15,104,3077,0
38.19,93,2700,0
36.65,75,2941,0
38.76,69,3273,0
39.17,70,3088,0
38.55,75,3700,0
38.63,101,3373,0
38.39,91,3469,0
39.55,80,4054,0
38.81,102,3058,0
38.07,102,2963,0
38.71,100,2858,0
38.87,115,3438,0
37.17,56,2063,0
37.88,94,3412,0
38.92,120,2851,0
39.1,124,3528,0
38.39,80,2595,0
39.23,79,3664,0
38.26,83,3011,0
39.71,102,2814,0
39.0,106,2713,0
38.27,81,2214,0
38.45,106,3106,0
39.27,74,2292,0
38.59,65,2855,0
38.82,93,2641,0
38.15,96,3605,0
38.23,94,3512,0
37.64,86,2759,0
38.75,82,2805,0
37.65,94,2567,0
38.57,92,3617,0
39.4,111,2930,0
38.86,75,3297,0
39.89,100,3626,0
39.5,100,3452,0
38.56,85,3478,0
38.15,87,2903,0
37.79,88,1764,0
38.96,99,3259,0
37.74,82,2440,0
37.7,66,3065,0
38.73,39,2727,0
38.25,85,3184,0
38.75,70,2329,0
36.84,73,2879,0
39.17,124,3111,0
39.45,106,3143,0
38.57,96,2633,0
38.44,115,3106,0
39.97,94,3107,0
